SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
24	2109	282701	271362
0	2110	39905	18364
13	2110	291172	280141
14	2110	273316	261880
15	2110	236329	227049
16	2110	243963	233994
17	2110	235502	225973
18	2110	260137	249667
19	2110	251346	240591
20	2110	245219	235065
21	2110	238733	227599
22	2110	237735	226940
23	2110	275537	263629
24	2110	289433	277244
0	2111	40547	18109
13	2111	294795	282524
14	2111	277442	264705
15	2111	240045	229996
16	2111	247212	236529
17	2111	239137	228755
18	2111	264671	253344
19	2111	255425	243924
20	2111	249590	238368
21	2111	240926	229124
22	2111	240095	228420
23	2111	279901	266868
24	2111	293715	280495
0	2112	42796	18680
13	2112	298503	285862
14	2112	279347	266020
15	2112	241978	231509
16	2112	250765	239635
17	2112	241862	230790
18	2112	264792	252948
19	2112	256485	244592
20	2112	251274	239532
21	2112	242428	229816
22	2112	242370	230205
23	2112	282071	268514
24	2112	296032	281996
0	2113	42865	18298
13	2113	300611	287315
14	2113	283423	269486
15	2113	245677	234604
16	2113	252876	241223
17	2113	244716	233203
18	2113	266913	254568
19	2113	259167	246552
20	2113	253280	241117
21	2113	245223	232213
22	2113	244405	231694
23	2113	284732	270446
24	2113	299444	284807
0	2114	45951	18685
13	2114	303019	288644
14	2114	286882	272031
15	2114	246414	234499
16	2114	255536	242875
17	2114	245327	233167
18	2114	269671	256245
19	2114	262344	248921
20	2114	256616	243360
21	2114	245809	231796
22	2114	247535	233823
23	2114	286311	271063
24	2114	301848	285849
0	2115	48177	19282
13	2115	300610	285212
14	2115	286614	271154
15	2115	246786	234326
16	2115	254478	241318
17	2115	245382	232838
18	2115	269043	254509
19	2115	262183	248126
20	2115	255122	241145
21	2115	245008	230260
22	2115	246421	231955
23	2115	286187	270370
24	2115	301857	285372
0	2116	47439	18389
13	2116	302043	285532
14	2116	287734	271539
15	2116	247551	234270
16	2116	256353	242818
17	2116	247030	233491
18	2116	269917	254629
19	2116	263451	248416
20	2116	257057	242188
21	2116	245857	230261
22	2116	248610	233295
23	2116	288304	271534
24	2116	303311	285715
0	2201	36062	21970
13	2201	267450	258657
14	2201	256989	247523
15	2201	219102	211732
16	2201	228046	220377
17	2201	217143	208841
18	2201	237799	229669
19	2201	236781	228327
20	2201	228310	220182
21	2201	219098	209355
22	2201	222408	213822
23	2201	259161	249696
24	2201	269689	260089
0	2202	33840	20503
13	2202	267819	259034
14	2202	258625	249370
15	2202	220754	213299
16	2202	229268	221436
17	2202	218236	210247
18	2202	238478	230420
19	2202	236918	228728
20	2202	229068	221021
21	2202	219542	210103
22	2202	224664	216178
23	2202	260160	250736
24	2202	269735	260283
0	2203	33152	20079
13	2203	269204	260862
14	2203	259724	250463
15	2203	222236	215084
16	2203	230421	222741
17	2203	219866	212033
18	2203	240712	232667
19	2203	238985	230621
20	2203	230923	222979
21	2203	221436	212431
22	2203	225516	216979
23	2203	262238	253025
24	2203	272361	262954
0	2204	33019	20068
13	2204	270687	262479
14	2204	260216	251258
15	2204	222592	215580
16	2204	231556	224122
17	2204	219922	212421
18	2204	241787	233952
19	2204	238862	230795
20	2204	232375	224661
21	2204	221352	212684
22	2204	225090	216979
23	2204	263399	254573
24	2204	272860	263750
0	2205	32617	19453
13	2205	272326	263973
14	2205	261778	252599
15	2205	223276	216195
16	2205	232535	224847
17	2205	222232	214526
18	2205	242765	234907
19	2205	240042	231789
20	2205	232079	224269
21	2205	223014	214245
22	2205	226302	218003
23	2205	264071	254799
24	2205	274548	265249
0	2206	32485	18783
13	2206	273975	265104
14	2206	262780	253445
15	2206	224642	217183
16	2206	232721	224651
17	2206	222853	215055
18	2206	244372	236186
19	2206	241483	232826
20	2206	232861	224769
21	2206	224710	215490
22	2206	227498	218892
23	2206	264522	254975
24	2206	275206	265649
0	2207	31998	18337
13	2207	276946	267961
14	2207	264356	254841
15	2207	227365	219809
16	2207	235387	227320
17	2207	224244	216283
18	2207	246722	238552
19	2207	243425	234817
20	2207	235231	227117
21	2207	225547	216490
22	2207	229165	220590
23	2207	266471	256996
